ASV	SOT22-A-t0-euk	SOT22-B-t0-euk	SOT22-C-t0-euk	SOT22-P1-t1-euk	SOT22-P1-t2-euk	SOT22-P1-t3-euk	SOT22-P1-t4-euk	SOT22-P1-t5-euk	SOT22-P1-t6-euk	SOT22-P1-t7-euk	SOT22-P1-t8-euk	SOT22-P1-t9-euk	SOT22-P10-t1-euk	SOT22-P10-t2-euk	SOT22-P10-t3-euk	SOT22-P10-t4-euk	SOT22-P10-t5-euk	SOT22-P10-t6-euk	SOT22-P10-t7-euk	SOT22-P10-t8-euk	SOT22-P10-t9-euk	SOT22-P11-t1-euk	SOT22-P11-t2-euk	SOT22-P11-t3-euk	SOT22-P11-t4-euk	SOT22-P11-t5-euk	SOT22-P11-t6-euk	SOT22-P11-t7-euk	SOT22-P11-t8-euk	SOT22-P11-t9-euk	SOT22-P12-t1-euk	SOT22-P12-t2-euk	SOT22-P12-t3-euk	SOT22-P12-t4-euk	SOT22-P12-t5-euk	SOT22-P12-t6-euk	SOT22-P12-t7-euk	SOT22-P12-t8-euk	SOT22-P12-t9-euk	SOT22-P2-t1-euk	SOT22-P2-t2-euk	SOT22-P2-t3-euk	SOT22-P2-t4-euk	SOT22-P2-t5-euk	SOT22-P2-t6-euk	SOT22-P2-t7-euk	SOT22-P2-t8-euk	SOT22-P2-t9-euk	SOT22-P3-t1-euk	SOT22-P3-t2-euk	SOT22-P3-t3-euk	SOT22-P3-t4-euk	SOT22-P3-t5-euk	SOT22-P3-t6-euk	SOT22-P3-t7-euk	SOT22-P3-t8-euk	SOT22-P3-t9-euk	SOT22-P4-t1-euk	SOT22-P4-t2-euk	SOT22-P4-t3-euk	SOT22-P4-t4-euk	SOT22-P4-t5-euk	SOT22-P4-t6-euk	SOT22-P4-t7-euk	SOT22-P4-t8-euk	SOT22-P4-t9-euk	SOT22-P5-t1-euk	SOT22-P5-t2-euk	SOT22-P5-t3-euk	SOT22-P5-t4-euk	SOT22-P5-t5-euk	SOT22-P5-t6-euk	SOT22-P5-t7-euk	SOT22-P5-t8-euk	SOT22-P5-t9-euk	SOT22-P6-t1-euk	SOT22-P6-t2-euk	SOT22-P6-t3-euk	SOT22-P6-t4-euk	SOT22-P6-t5-euk	SOT22-P6-t6-euk	SOT22-P6-t7-euk	SOT22-P6-t8-euk	SOT22-P6-t9-euk	SOT22-P7-t1-euk	SOT22-P7-t2-euk	SOT22-P7-t3-euk	SOT22-P7-t4-euk	SOT22-P7-t5-euk	SOT22-P7-t6-euk	SOT22-P7-t7-euk	SOT22-P7-t8-euk	SOT22-P7-t9-euk	SOT22-P8-t1-euk	SOT22-P8-t2-euk	SOT22-P8-t3-euk	SOT22-P8-t4-euk	SOT22-P8-t5-euk	SOT22-P8-t6-euk	SOT22-P8-t7-euk	SOT22-P8-t8-euk	SOT22-P8-t9-euk	SOT22-P9-t1-euk	SOT22-P9-t2-euk	SOT22-P9-t3-euk	SOT22-P9-t4-euk	SOT22-P9-t5-euk	SOT22-P9-t6-euk	SOT22-P9-t7-euk	SOT22-P9-t8-euk	SOT22-P9-t9-euk
ASV_00021	731	788	114618	910	7	2	4	0	0	0	0	0	201	549	2998	3	0	0	26	12	0	1934	71	5	1	0	0	0	6187	6020	540	79	23	8	2	0	0	1	0	336	4	6	0	0	1	0	0	0	35477	3	493	0	0	0	0	5	0	52032	1957	2	0	0	0	24	0	0	10989	329	5	0	0	0	0	0	0	350	6	0	0	0	0	0	0	0	268	42	11	0	1	1	50	0	36	11728	1071	0	1	0	0	0	0	0	11552	10	2	39	0	0	0	4	0
ASV_00022	49	0	0	0	33	34	471	391	676	686	542	338	33	36	59	358	3516	3434	5993	5889	2701	75	60	164	298	2027	7160	5419	3083	3550	107	35	43	308	91	43	0	0	0	0	19	29	288	2298	3224	4398	18173	16237	33	11	21	59	288	770	279	378	506	3	16	121	114	188	140	125	11	69	75	12	12	18	735	2777	745	115513	5844	2	7	8	52	734	3800	3469	16	5624	21	12	82	311	1401	3328	2058	0	1689	0	14	252	1083	162	0	25	0	63	2	7	99	484	1395	8318	3817	2314	155
ASV_00023	741	476	965	1044	1003	660	391	26	30	20	65	15	1559	250	412	295	324	1230	79	97	35	4431	761	1361	3735	6176	3111	538	8	467	1848	921	3211	9500	17207	18189	0	2291	6411	840	425	240	332	926	626	197	157	83	1698	991	725	744	11994	9298	6903	2447	1258	1131	978	328	4600	18042	12356	6445	2912	2878	832	253	325	51	1177	1563	1022	18066	241	693	529	241	389	565	759	823	0	93	2127	474	3197	4350	4458	1324	267	3	97	824	1063	2073	3527	1360	282	1080	11	127	810	918	1173	4869	6059	1726	908	601	244
ASV_00024	1399	1487	2889	1104	767	1055	633	94	45	51	24	0	1401	405	1523	633	399	1511	1783	742	238	3872	1355	3029	3715	1457	441	188	35	0	4841	2021	4033	4384	436	492	382	1584	63	1105	710	1958	1520	1690	1444	724	361	226	2230	1985	1670	2206	3195	1745	1211	3324	546	2199	1225	4016	2835	606	738	7523	678	3	1201	598	1539	388	2293	622	2199	16896	2084	1020	1109	1287	1822	1481	2069	2546	5	1477	2710	1290	831	298	94	29	2	6	0	2510	1507	4610	6040	3441	907	1729	4	3274	806	1592	2621	5598	1581	736	1048	455	1092
ASV_00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_00026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	19	0	0	0	0	0	0	0	0	274	0	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	5	19	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_00027	1127	758	625	1882	314	169	806	2044	801	792	575	281	2333	260	204	109	181	234	913	901	837	3123	445	119	747	5378	8136	7512	6603	3005	5013	458	32	222	1293	897	0	59	99	847	477	257	35	129	552	1031	1941	1018	1299	286	7	110	3177	7360	5990	4876	1202	1400	177	119	1434	4732	6958	1496	114	92	1611	297	113	0	59	283	1038	8533	152	1119	197	59	7	3	33	38	0	12	1875	387	240	2436	10389	10378	6051	3	6490	1379	133	63	874	946	583	1666	0	422	465	446	142	889	5531	8415	10490	7570	3320
ASV_00028	3	0	0	1	0	0	0	0	0	0	0	9	2	0	0	0	0	2	0	0	0	0	0	0	1	7	4	22	9	0	1	0	0	79	254	381	0	370	1174	0	0	0	0	0	0	0	0	0	0	1	0	0	16	84	223	1478	1283	0	0	3	25	47	141	963	1466	1436	6	3	0	0	0	4	0	721	23	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	9	37	275	4873	0	273	3	0	0	4	0	0	0	9	8
ASV_00029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_00030	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
